com.samsung.shealth.exercise,6293007,16
live_data_internal,mission_value,race_target,subset_data,start_longitude,routine_datauuid,total_calorie,completion_status,pace_info_id,activity_type,pace_live_data,sensing_status,source_type,mission_type,ftp,tracking_status,program_id,title,reward_status,heart_rate_sample_count,start_latitude,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,custom_id,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.create_sh_ver,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.modify_sh_ver,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.auxiliary_devices,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
34306235-5f65-305f-6334-626335623736.live_data_internal.json,0,,,,,0.0,0,,,,34306235-5f65-305f-6334-626335623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,222000,,100032,0.0,,2025-02-19 12:15:08.000,15006,,0.0,0.0,107.0,0,0.0,0.0,100032,124.0,2025-02-19 12:20:30.000,2025-02-19 12:20:30.000,0.0,0.0,0.0,97.0,0,0.0,0.0,36.0,0.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,34306235-5f65-305f-6334-626335623736.com.samsung.health.exercise.live_data.json,0.0,0.0,com.sec.android.app.shealth,,,,,2025-02-19 12:20:30.000,34306235-5f65-305f-6334-626335623736,,
34626435-5f34-305f-3464-666535623736.live_data_internal.json,0,,,,,0.0,0,,,,34626435-5f34-305f-3464-666535623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,615000,,100032,0.0,,2025-02-19 14:51:00.000,1001,,0.0,0.0,100.0,30001,0.0,0.0,100032,121.0,2025-02-19 15:01:15.000,2025-02-19 15:01:15.000,0.0,1.775,63.0,88.0,655,496.0,0.0,47.0,144.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,34626435-5f34-305f-3464-666535623736.com.samsung.health.exercise.live_data.json,0.0,0.81178397,com.sec.android.app.shealth,,,,,2025-02-19 15:01:15.000,34626435-5f34-305f-3464-666535623736,,
38376637-5f30-375f-6131-666536623736.live_data_internal.json,0,,,,,0.0,0,,,,38376637-5f30-375f-6131-666536623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,907000,,100032,0.0,,2025-02-20 09:00:10.000,0,,0.0,0.0,106.0,0,0.0,0.0,100032,145.0,2025-02-20 09:15:24.000,2025-02-20 09:15:24.000,0.0,0.0,0.0,88.0,0,0.0,0.0,87.0,0.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,38376637-5f30-375f-6131-666536623736.com.samsung.health.exercise.live_data.json,0.0,0.0,com.sec.android.app.shealth,,,,,2025-02-20 09:15:24.000,38376637-5f30-375f-6131-666536623736,,
38643935-5f34-305f-6166-366636623736.live_data_internal.json,0,,,,,0.0,0,,,,38643935-5f34-305f-6166-366636623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,828000,,100032,0.0,,2025-02-20 09:33:46.000,1001,,0.0,0.0,127.0,30001,0.0,0.0,100032,143.0,2025-02-20 09:47:34.000,2025-02-20 09:47:34.000,0.0,1.7590001,98.0,109.0,1353,1030.0,0.0,64.0,138.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,38643935-5f34-305f-6166-366636623736.com.samsung.health.exercise.live_data.json,0.0,1.2515188,com.sec.android.app.shealth,,,,,2025-02-20 09:47:34.000,38643935-5f34-305f-6166-366636623736,,
38363834-5f34-305f-3434-323137623736.live_data_internal.json,0,,,,,0.0,0,,,,38363834-5f34-305f-3434-323137623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,1104000,,100032,0.0,,2025-02-20 11:30:12.000,1001,,0.0,0.0,115.0,30001,0.0,0.0,100032,131.0,2025-02-20 11:49:59.000,2025-02-20 11:49:59.000,0.0,2.009,88.0,99.0,1623,1216.0,0.0,86.0,150.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,38363834-5f34-305f-3434-323137623736.com.samsung.health.exercise.live_data.json,0.0,1.1084777,com.sec.android.app.shealth,,,,,2025-02-20 11:49:59.000,38363834-5f34-305f-3434-323137623736,,
37613635-5f34-305f-3736-383537623736.live_data_internal.json,0,,,,,0.0,0,,,,37613635-5f34-305f-3736-383537623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,860000,,100032,0.0,,2025-02-20 16:29:27.000,1001,,0.0,0.0,104.0,30001,0.0,0.0,100032,122.0,2025-02-20 16:45:28.000,2025-02-20 16:45:28.000,0.0,1.716,75.0,73.0,1088,831.0,0.0,66.0,120.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,37613635-5f34-305f-3736-383537623736.com.samsung.health.exercise.live_data.json,0.0,0.9685315,com.sec.android.app.shealth,,,,,2025-02-20 16:45:28.000,37613635-5f34-305f-3736-383537623736,,
66663762-5f30-375f-3135-633938623736.live_data_internal.json,0,,,,,0.0,0,,,,66663762-5f30-375f-3135-633938623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,896000,,100032,0.0,,2025-02-21 15:31:29.000,0,,0.0,0.0,121.0,0,0.0,0.0,100032,150.0,2025-02-21 15:46:28.000,2025-02-21 15:46:28.000,0.0,0.0,0.0,84.0,0,0.0,0.0,95.0,0.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,66663762-5f30-375f-3135-633938623736.com.samsung.health.exercise.live_data.json,0.0,0.0,com.sec.android.app.shealth,,,,,2025-02-21 15:46:28.000,66663762-5f30-375f-3135-633938623736,,
66333464-5f30-375f-3839-386138623736.live_data_internal.json,0,,,,,0.0,0,,,,66333464-5f30-375f-3839-386138623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,627000,,100032,0.0,,2025-02-21 16:23:52.000,0,,0.0,0.0,129.0,0,0.0,0.0,100032,146.0,2025-02-21 16:34:29.000,2025-02-21 16:34:29.000,0.0,0.0,0.0,110.0,0,0.0,0.0,63.0,0.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,66333464-5f30-375f-3839-386138623736.com.samsung.health.exercise.live_data.json,0.0,0.0,com.sec.android.app.shealth,,,,,2025-02-21 16:34:29.000,66333464-5f30-375f-3839-386138623736,,
62323561-5f30-375f-6134-656438623736.live_data_internal.json,0,,,,,0.0,0,,,,62323561-5f30-375f-6134-656438623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,1297000,,100032,0.0,,2025-02-21 20:12:58.000,0,,0.0,0.0,112.0,0,0.0,0.0,100032,141.0,2025-02-21 20:34:35.000,2025-02-21 20:34:35.000,0.0,0.0,0.0,92.0,0,0.0,0.0,137.0,0.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,62323561-5f30-375f-6134-656438623736.com.samsung.health.exercise.live_data.json,0.0,0.0,com.sec.android.app.shealth,,,,,2025-02-21 20:34:35.000,62323561-5f30-375f-6134-656438623736,,
31666162-5f30-375f-3430-356339623736.live_data_internal.json,0,,,,,0.0,0,,,,31666162-5f30-375f-3430-356339623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,2631000,,100032,0.0,,2025-02-22 12:37:24.000,0,,0.0,0.0,122.0,0,0.0,0.0,100032,149.0,2025-02-22 13:21:07.000,2025-02-22 13:21:07.000,0.0,0.0,0.0,92.0,0,0.0,0.0,322.0,0.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,31666162-5f30-375f-3430-356339623736.com.samsung.health.exercise.live_data.json,0.0,0.0,com.sec.android.app.shealth,,,,,2025-02-22 13:21:07.000,31666162-5f30-375f-3430-356339623736,,
63663134-5f30-375f-3539-316439623736.live_data_internal.json,0,,,,,0.0,0,,,,63663134-5f30-375f-3539-316439623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,1447000,,100032,0.0,,2025-02-22 13:31:01.000,0,,0.0,0.0,117.0,0,0.0,0.0,100032,141.0,2025-02-22 13:55:09.000,2025-02-22 13:55:09.000,0.0,0.0,0.0,98.0,0,0.0,0.0,164.0,0.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,63663134-5f30-375f-3539-316439623736.com.samsung.health.exercise.live_data.json,0.0,0.0,com.sec.android.app.shealth,,,,,2025-02-22 13:55:09.000,63663134-5f30-375f-3539-316439623736,,
39646636-5f30-375f-3739-396439623736.live_data_internal.json,0,,,,,0.0,0,,,,39646636-5f30-375f-3739-396439623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,717000,,100032,0.0,,2025-02-22 14:05:11.000,0,,0.0,0.0,111.0,0,0.0,0.0,100032,129.0,2025-02-22 14:17:11.000,2025-02-22 14:17:11.000,0.0,0.0,0.0,99.0,0,0.0,0.0,63.0,0.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,39646636-5f30-375f-3739-396439623736.com.samsung.health.exercise.live_data.json,0.0,0.0,com.sec.android.app.shealth,,,,,2025-02-22 14:17:11.000,39646636-5f30-375f-3739-396439623736,,
61376632-5f30-375f-6339-646439623736.live_data_internal.json,0,,,,,0.0,0,,,,61376632-5f30-375f-6339-646439623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,713000,,100032,0.0,,2025-02-22 14:22:20.000,0,,0.0,0.0,123.0,0,0.0,0.0,100032,140.0,2025-02-22 14:34:15.000,2025-02-22 14:34:15.000,0.0,0.0,0.0,109.0,0,0.0,0.0,71.0,0.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,61376632-5f30-375f-6339-646439623736.com.samsung.health.exercise.live_data.json,0.0,0.0,com.sec.android.app.shealth,,,,,2025-02-22 14:34:15.000,61376632-5f30-375f-6339-646439623736,,
36393730-5f30-375f-6433-376539623736.live_data_internal.json,0,,,,,0.0,0,,,,36393730-5f30-375f-6433-376539623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,1274000,,100032,0.0,,2025-02-22 15:03:25.000,0,,0.0,0.0,128.0,0,0.0,0.0,100032,148.0,2025-02-22 15:24:38.000,2025-02-22 15:24:38.000,0.0,0.0,0.0,103.0,0,0.0,0.0,153.0,0.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,36393730-5f30-375f-6433-376539623736.com.samsung.health.exercise.live_data.json,0.0,0.0,com.sec.android.app.shealth,,,,,2025-02-22 15:24:38.000,36393730-5f30-375f-6433-376539623736,,
39306535-5f30-375f-6337-656539623736.live_data_internal.json,0,,,,,0.0,0,,,,39306535-5f30-375f-6337-656539623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,1196000,,100032,0.0,,2025-02-22 15:34:20.000,0,,0.0,0.0,126.0,0,0.0,0.0,100032,154.0,2025-02-22 15:54:16.000,2025-02-22 15:54:16.000,0.0,0.0,0.0,104.0,0,0.0,0.0,144.0,0.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,39306535-5f30-375f-6337-656539623736.com.samsung.health.exercise.live_data.json,0.0,0.0,com.sec.android.app.shealth,,,,,2025-02-22 15:54:16.000,39306535-5f30-375f-6337-656539623736,,
63323037-5f34-305f-6564-326561623736.live_data_internal.json,0,,,,,0.0,0,,,,63323037-5f34-305f-6564-326561623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,1327000,,100032,0.0,,2025-02-23 08:57:02.000,1001,,0.0,0.0,101.0,30001,0.0,0.0,100032,121.0,2025-02-23 09:21:06.000,2025-02-23 09:21:06.000,0.0,1.916,82.0,90.0,1834,1383.0,0.0,107.0,162.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,63323037-5f34-305f-6564-326561623736.com.samsung.health.exercise.live_data.json,0.0,1.0461422,com.sec.android.app.shealth,,,,,2025-02-23 09:21:06.000,63323037-5f34-305f-6564-326561623736,,
35616332-5f34-305f-3464-663062623736.live_data_internal.json,0,,,,,0.0,0,,,,35616332-5f34-305f-3464-663062623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,1271000,,100032,0.0,,2025-02-23 12:08:52.000,1001,,0.0,0.0,88.0,30001,0.0,0.0,100032,101.0,2025-02-23 12:31:41.000,2025-02-23 12:31:41.000,0.0,2.1,56.0,83.0,1195,920.0,0.0,95.0,138.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,35616332-5f34-305f-3464-663062623736.com.samsung.health.exercise.live_data.json,0.0,0.7284244,com.sec.android.app.shealth,,,,,2025-02-23 12:31:41.000,35616332-5f34-305f-3464-663062623736,,
37353134-5f34-305f-3562-343262623736.live_data_internal.json,0,,,,,0.0,0,,,,37353134-5f34-305f-3562-343262623736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,1626000,,100032,0.0,,2025-02-23 13:37:57.000,1001,,0.0,0.0,96.0,30001,0.0,0.0,100032,120.0,2025-02-23 14:07:29.000,2025-02-23 14:07:29.000,0.0,1.8,85.0,82.0,2325,1708.0,0.0,127.0,138.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,37353134-5f34-305f-3562-343262623736.com.samsung.health.exercise.live_data.json,0.0,1.0523721,com.sec.android.app.shealth,,,,,2025-02-23 14:07:29.000,37353134-5f34-305f-3562-343262623736,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,840000,,62920010,,,2025-02-27 09:22:00.000,1001,,,,,30001,,,62920010,,2025-02-27 09:37:46.847,2025-02-27 09:37:46.847,,1.4166666,,,1416,1073.95,,55.95,,,,UTC+0100,R0X8Tl1DGH,,,48c29f6f-e39d-49ef-a14c-8d7ffc618258.com.samsung.health.exercise.live_data.json,,1.278512,com.sec.android.app.shealth,,,,,2025-02-27 09:36:00.000,48c29f6f-e39d-49ef-a14c-8d7ffc618258,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,840000,,62920010,,,2025-02-27 10:59:00.000,1001,,,,,30001,,,62920010,,2025-02-27 11:14:49.644,2025-02-27 11:14:49.644,,1.4021667,,,1453,1103.63,,57.54,,,,UTC+0100,R0X8Tl1DGH,,,945a7f9a-7e27-4aa8-bda8-5288adbbcd52.com.samsung.health.exercise.live_data.json,,1.3138452,com.sec.android.app.shealth,,,,,2025-02-27 11:13:00.000,945a7f9a-7e27-4aa8-bda8-5288adbbcd52,,
,,,,,,,1,,,,,4,0,,0,,,,,,,,,,,,840000,,62920010,,,2025-02-27 18:23:00.000,1001,,,,,30001,,,62920010,,2025-02-27 18:38:24.634,2025-02-27 18:38:24.634,,1.5277778,,,1435,1099.04,,51.95,,,,UTC+0100,R0X8Tl1DGH,,,d9a9c93c-77f6-447a-9adb-cca525f66bf6.com.samsung.health.exercise.live_data.json,,1.308381,com.sec.android.app.shealth,,,,,2025-02-27 18:37:00.000,d9a9c93c-77f6-447a-9adb-cca525f66bf6,,
64323466-5f34-305f-3435-396135633736.live_data_internal.json,0,,,,,0.0,0,,,,64323466-5f34-305f-3435-396135633736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,1000000,,100032,0.0,,2025-03-03 13:06:28.000,1001,,0.0,0.0,98.0,30001,0.0,0.0,100032,119.0,2025-03-03 13:24:12.000,2025-03-03 13:24:12.000,0.0,1.618,84.0,87.0,1414,1034.0,0.0,76.0,132.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,64323466-5f34-305f-3435-396135633736.com.samsung.health.exercise.live_data.json,0.0,1.0381526,com.sec.android.app.shealth,,,,,2025-03-03 13:24:12.000,64323466-5f34-305f-3435-396135633736,,
66636338-5f34-305f-6335-666135633736.live_data_internal.json,0,,,,,0.0,0,,,,66636338-5f34-305f-6335-666135633736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,1772000,,100032,0.0,,2025-03-03 13:32:12.000,1001,,0.0,0.0,109.0,30001,0.0,0.0,100032,136.0,2025-03-03 14:03:30.000,2025-03-03 14:03:30.000,0.0,1.8,84.0,88.0,2507,1817.0,0.0,135.0,132.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,66636338-5f34-305f-6335-666135633736.com.samsung.health.exercise.live_data.json,0.0,1.0265536,com.sec.android.app.shealth,,,,,2025-03-03 14:03:30.000,66636338-5f34-305f-6335-666135633736,,
36343666-5f34-305f-3534-303037633736.live_data_internal.json,0,,,,,0.0,0,,,,36343666-5f34-305f-3534-303037633736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,1064000,,100032,0.0,,2025-03-04 13:29:41.000,1001,,0.0,0.0,86.0,30001,0.0,0.0,100032,110.0,2025-03-04 13:49:09.000,2025-03-04 13:49:09.000,0.0,1.6509999,85.0,65.0,1520,1130.0,0.0,82.0,126.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,36343666-5f34-305f-3534-303037633736.com.samsung.health.exercise.live_data.json,0.0,1.0640302,com.sec.android.app.shealth,,,,,2025-03-04 13:49:09.000,36343666-5f34-305f-3534-303037633736,,
39323133-5f34-305f-6664-393037633736.live_data_internal.json,0,,,,,0.0,0,,,,39323133-5f34-305f-6664-393037633736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,1150000,,100032,0.0,,2025-03-04 14:10:39.000,1001,,0.0,0.0,83.0,30001,0.0,0.0,100032,104.0,2025-03-04 14:31:24.000,2025-03-04 14:31:24.000,0.0,1.731,94.0,78.0,1813,1345.0,0.0,89.0,114.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,39323133-5f34-305f-6664-393037633736.com.samsung.health.exercise.live_data.json,0.0,1.1767279,com.sec.android.app.shealth,,,,,2025-03-04 14:31:24.000,39323133-5f34-305f-6664-393037633736,,
34306235-5f34-305f-6538-363337633736.live_data_internal.json,0,,,,,0.0,0,,,,34306235-5f34-305f-6538-363337633736.sensing_status.json,4,0,,0,,,0,0,,0.0,,,,,,1430000,,100032,0.0,,2025-03-04 17:21:18.000,1001,,0.0,0.0,91.0,30001,0.0,0.0,100032,111.0,2025-03-04 17:46:34.000,2025-03-04 17:46:34.000,0.0,1.9870001,90.0,78.0,2157,1610.0,0.0,109.0,156.0,0.0,,UTC+0100,MhLCbMNGdz,0.0,,34306235-5f34-305f-6538-363337633736.com.samsung.health.exercise.live_data.json,0.0,1.1314125,com.sec.android.app.shealth,,,,,2025-03-04 17:46:34.000,34306235-5f34-305f-6538-363337633736,,
