com.samsung.shealth.activity.day_summary,6292001,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-31 08:37:40.865,10,2025-01-14 15:14:40.403,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,0f79c13f-8dc3-483b-864d-612b3684c16a.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,0f79c13f-8dc3-483b-864d-612b3684c16a,2025-01-04 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-20 06:38:00.982,10,2025-01-14 15:14:40.534,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,c8a6605a-d6b4-49a7-a607-c6d867768537.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,c8a6605a-d6b4-49a7-a607-c6d867768537,2025-01-03 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-20 06:38:01.354,10,2025-01-14 15:14:40.683,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,29e2babf-e4be-420b-9077-76dddff7b616.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,29e2babf-e4be-420b-9077-76dddff7b616,2025-01-02 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-20 06:38:01.708,10,2025-01-14 15:14:40.805,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,34360638-1d96-419d-986e-ce2b55da3ce1.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,34360638-1d96-419d-986e-ce2b55da3ce1,2025-01-01 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-20 06:38:02.089,10,2025-01-14 15:14:40.931,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,0189746a-02f4-4dc6-a4c7-0fccf0951160.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,0189746a-02f4-4dc6-a4c7-0fccf0951160,2024-12-31 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-20 06:38:02.452,10,2025-01-14 15:14:41.060,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,70568fd1-24de-4c8d-80f1-ebf777d7cd6b.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,70568fd1-24de-4c8d-80f1-ebf777d7cd6b,2024-12-30 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-20 06:38:02.678,10,2025-01-14 15:14:41.168,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,ffcfc64e-30d5-4dd3-b4b0-379e1723b3a6.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,ffcfc64e-30d5-4dd3-b4b0-379e1723b3a6,2024-12-29 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-20 06:38:02.863,10,2025-01-14 15:14:41.311,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,22a142b4-2c53-48b5-b893-cc8d78979cca.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,22a142b4-2c53-48b5-b893-cc8d78979cca,2024-12-28 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-20 06:38:02.990,10,2025-01-14 15:14:41.430,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,ae6b5c31-b94d-46a8-8e1c-46268a2d1051.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,ae6b5c31-b94d-46a8-8e1c-46268a2d1051,2024-12-27 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-20 06:38:03.186,10,2025-01-14 15:14:41.606,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,ffa316e1-6794-474c-8f76-00f974d3d163.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,ffa316e1-6794-474c-8f76-00f974d3d163,2024-12-26 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-20 06:38:03.445,10,2025-01-14 15:14:41.747,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,7d659cc7-924f-4539-a577-df164049b4b4.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,7d659cc7-924f-4539-a577-df164049b4b4,2024-12-25 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-20 06:38:03.586,10,2025-01-14 15:14:41.889,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,7525eeb2-3f26-41e5-88c9-b12e336be225.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,7525eeb2-3f26-41e5-88c9-b12e336be225,2024-12-24 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-19 00:46:50.859,10,2025-01-14 15:14:42.026,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,bb5a131a-e777-4b76-bd90-ae779f1daa6f.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,bb5a131a-e777-4b76-bd90-ae779f1daa6f,2024-12-23 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62850050,2025-01-18 17:17:19.504,10,2025-01-14 15:14:42.185,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,e802d244-1b9f-41c4-989f-c41b6d250ab0.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,e802d244-1b9f-41c4-989f-c41b6d250ab0,2024-12-22 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62850050,2025-01-14 15:16:04.457,10,2025-01-14 15:14:42.323,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,6abad3d2-cb5e-4d77-9f76-93727200d29f.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,6abad3d2-cb5e-4d77-9f76-93727200d29f,2024-12-21 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62850050,2025-01-14 15:16:04.602,10,2025-01-14 15:14:42.458,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,417137cc-a8b2-4a1e-8507-9c1b8f438406.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,417137cc-a8b2-4a1e-8507-9c1b8f438406,2024-12-20 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62850050,2025-01-14 15:16:04.722,10,2025-01-14 15:14:42.586,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,2f42bffe-5b93-4590-b17b-7d386633611d.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,2f42bffe-5b93-4590-b17b-7d386633611d,2024-12-19 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62850050,2025-01-14 15:16:04.885,10,2025-01-14 15:14:42.755,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,6423cf17-9ccd-42e3-993d-020b259d746f.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,6423cf17-9ccd-42e3-993d-020b259d746f,2024-12-18 00:00:00.000,
0,62850050,0,0,3354,300,2175572,90,0,62900750,2025-02-05 10:02:38.402,10,2025-01-14 23:00:00.393,0.0,30,30,-1,180000,40,14,0,8,2499.5361,0,128.64406,93c8eb94-d3d5-41e1-a89b-0a5b67f65f1b.extra_data.json,R0X8Tl1DGH,4000,com.sec.android.app.shealth,2171572,86400000,93c8eb94-d3d5-41e1-a89b-0a5b67f65f1b,2025-01-15 00:00:00.000,
0,62850050,0,896000,5649,300,3526225,90,0,62900750,2025-02-05 10:02:38.232,10,2025-01-15 23:00:01.243,0.0,30,30,-1,1020000,64,13,0,8,4231.8696,0,218.94165,b9536815-7fc2-4929-a08a-eb7607297572.extra_data.json,R0X8Tl1DGH,2000,com.sec.android.app.shealth,3524225,86400000,b9536815-7fc2-4929-a08a-eb7607297572,2025-01-16 00:00:00.000,
0,62850050,0,0,6383,300,4106444,90,0,62900750,2025-02-05 10:02:38.026,10,2025-01-16 23:00:01.141,0.0,30,30,-1,180000,75,14,0,8,4766.842,0,242.59634,760f9ba6-ae88-45c0-b76d-3c8fb76ffceb.extra_data.json,R0X8Tl1DGH,3600,com.sec.android.app.shealth,4102844,86400000,760f9ba6-ae88-45c0-b76d-3c8fb76ffceb,2025-01-17 00:00:00.000,
0,62850050,0,0,16650,300,10987012,90,0,62900750,2025-02-05 10:02:37.833,10,2025-01-17 23:00:02.259,0.0,30,30,-1,240000,202,16,0,8,12514.432,0,614.73035,f341a977-20df-4ac1-b9e4-947dc66dd8cb.extra_data.json,R0X8Tl1DGH,24800,com.sec.android.app.shealth,10962212,86400000,f341a977-20df-4ac1-b9e4-947dc66dd8cb,2025-01-18 00:00:00.000,
0,62850050,0,0,2645,300,1721317,90,0,62920010,2025-02-15 19:04:40.634,10,2025-01-18 23:00:01.047,0.0,30,30,-1,420000,31,9,0,8,1972.7184,0,84.77154,161570a0-5ea6-4a73-955c-288b079c6ffe.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,1721317,86400000,161570a0-5ea6-4a73-955c-288b079c6ffe,2025-01-19 00:00:00.000,
0,62900750,0,0,5589,300,3673185,90,0,62920010,2025-02-15 19:04:40.274,10,2025-01-19 23:00:01.389,0.0,30,30,-1,180000,66,13,0,8,4160.232,0,191.20506,bc0d6ab8-2f8a-47da-854e-27f33ae65ac9.extra_data.json,R0X8Tl1DGH,22291,com.sec.android.app.shealth,3650894,86400000,bc0d6ab8-2f8a-47da-854e-27f33ae65ac9,2025-01-20 00:00:00.000,
0,62900750,0,8000,4681,300,3028507,90,8000,62920010,2025-02-15 19:04:39.902,10,2025-01-20 23:00:00.889,0.0,30,30,-1,180000,55,15,0,8,3558.5647,0,159.76837,28a8ba7e-f0ff-49f1-9187-d685e3411f45.extra_data.json,R0X8Tl1DGH,78566,com.sec.android.app.shealth,2941941,86400000,28a8ba7e-f0ff-49f1-9187-d685e3411f45,2025-01-21 00:00:00.000,
0,62900750,0,0,4506,300,2957697,90,0,62920010,2025-02-15 19:04:39.302,10,2025-01-21 23:00:03.315,0.0,30,30,-1,180000,54,12,0,8,3367.347,0,145.13924,0cabb456-40bb-4a9d-bc05-2d2fac0401b9.extra_data.json,R0X8Tl1DGH,2400,com.sec.android.app.shealth,2955297,86400000,0cabb456-40bb-4a9d-bc05-2d2fac0401b9,2025-01-22 00:00:00.000,
0,62900750,0,0,4578,300,2921470,90,0,62920010,2025-02-15 19:04:38.666,10,2025-01-22 23:00:01.234,0.0,30,30,-1,180000,53,12,0,8,3422.169,0,141.54,4930fa24-531b-4f43-91d1-b874d14db70c.extra_data.json,R0X8Tl1DGH,400,com.sec.android.app.shealth,2921070,86400000,4930fa24-531b-4f43-91d1-b874d14db70c,2025-01-23 00:00:00.000,
0,62900750,0,0,1564,300,1039156,90,0,62920010,2025-02-15 19:04:37.853,10,2025-01-23 23:00:00.987,0.0,30,30,-1,60000,18,9,0,8,1174.1201,0,48.879997,c1996c11-31ca-4e2e-bcc5-c41b94bd4a5c.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,1039156,86400000,c1996c11-31ca-4e2e-bcc5-c41b94bd4a5c,2025-01-24 00:00:00.000,
0,62900750,0,0,16869,300,11106578,90,0,62920010,2025-02-21 10:33:46.060,10,2025-01-24 23:00:01.914,0.0,30,30,-1,180000,204,17,0,8,12744.112,0,558.98645,570a112f-0a03-4b9d-95a0-136f507fc21f.extra_data.json,R0X8Tl1DGH,68736,com.sec.android.app.shealth,11037842,86400000,570a112f-0a03-4b9d-95a0-136f507fc21f,2025-01-25 00:00:00.000,
0,62900750,0,0,2998,300,1997797,90,0,62920010,2025-02-21 10:33:45.644,10,2025-01-25 23:00:01.408,0.0,30,30,-1,52026,36,12,0,8,2244.3645,0,98.291756,b26b8c1a-f30f-44f1-a1b3-6d540f659a17.extra_data.json,R0X8Tl1DGH,2800,com.sec.android.app.shealth,1994997,86400000,b26b8c1a-f30f-44f1-a1b3-6d540f659a17,2025-01-26 00:00:00.000,
0,62900750,0,0,2705,300,1800497,90,0,62920010,2025-02-21 10:33:45.263,10,2025-01-26 23:00:01.379,0.0,30,30,-1,60000,32,12,0,8,2023.2678,0,88.64747,ef7f312f-9882-4536-96c3-17ad644373fc.extra_data.json,R0X8Tl1DGH,5600,com.sec.android.app.shealth,1794897,86400000,ef7f312f-9882-4536-96c3-17ad644373fc,2025-01-27 00:00:00.000,
0,62900750,0,0,4409,300,2753962,90,0,62920010,2025-02-21 10:33:44.915,10,2025-01-27 23:00:01.137,0.0,30,30,-1,240000,50,10,0,8,3300.8901,0,135.51999,fdf2c802-8e2c-4e3f-823a-411417efcb31.extra_data.json,R0X8Tl1DGH,2400,com.sec.android.app.shealth,2751562,86400000,fdf2c802-8e2c-4e3f-823a-411417efcb31,2025-01-28 00:00:00.000,
0,62900750,0,0,1684,300,1120291,90,0,62920010,2025-02-21 10:33:44.449,10,2025-01-28 23:00:01.844,0.0,30,30,-1,40687,20,12,0,8,1275.7888,0,54.465336,995be4dd-d0b1-4c47-bd1b-87a6919ef1ba.extra_data.json,R0X8Tl1DGH,4400,com.sec.android.app.shealth,1115891,86400000,995be4dd-d0b1-4c47-bd1b-87a6919ef1ba,2025-01-29 00:00:00.000,
0,62900750,0,0,4718,300,3073695,90,0,62920010,2025-02-21 10:33:44.050,10,2025-01-29 23:00:00.910,0.0,30,30,-1,120000,56,13,0,8,3525.7935,0,147.53548,ce58b1ab-0b56-41ee-8aa3-02a73d16fc05.extra_data.json,R0X8Tl1DGH,2400,com.sec.android.app.shealth,3071295,86400000,ce58b1ab-0b56-41ee-8aa3-02a73d16fc05,2025-01-30 00:00:00.000,
0,62900750,0,0,4531,300,2867204,90,0,62920010,2025-02-21 10:33:43.818,10,2025-01-30 23:00:01.332,0.0,30,30,-1,300000,52,9,0,8,3451.8875,0,167.57683,cc69f483-f92e-4c24-94b6-acfe0bdd2c9f.extra_data.json,R0X8Tl1DGH,16169,com.sec.android.app.shealth,2851035,86400000,cc69f483-f92e-4c24-94b6-acfe0bdd2c9f,2025-01-31 00:00:00.000,
0,62900750,0,0,18063,300,11874252,90,0,62920010,2025-02-21 10:33:43.590,10,2025-01-31 23:00:01.553,0.0,30,30,-1,360000,217,14,0,8,13665.326,0,668.97845,4433c150-ea46-470e-8620-b5a48834ea73.extra_data.json,R0X8Tl1DGH,58400,com.sec.android.app.shealth,11815852,86400000,4433c150-ea46-470e-8620-b5a48834ea73,2025-02-01 00:00:00.000,
0,62900750,0,0,4074,300,2698319,90,0,62920010,2025-02-21 10:33:43.378,10,2025-02-01 23:00:01.503,0.0,30,30,-1,60000,48,12,0,8,3069.1401,0,149.926,d07d4940-58d4-4cbe-80d0-f926f940e363.extra_data.json,R0X8Tl1DGH,12400,com.sec.android.app.shealth,2685919,86400000,d07d4940-58d4-4cbe-80d0-f926f940e363,2025-02-02 00:00:00.000,
0,62900750,0,0,1515,300,1010475,90,0,62920010,2025-02-21 10:33:42.893,10,2025-02-02 23:00:01.363,0.0,30,30,-1,60000,17,9,0,8,1138.2401,0,55.56,e221cb64-d72b-4a58-8411-fc42ba893d4f.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,1010475,86400000,e221cb64-d72b-4a58-8411-fc42ba893d4f,2025-02-03 00:00:00.000,
0,62900750,0,0,5004,300,3127023,90,0,62920010,2025-02-21 10:33:42.664,10,2025-02-03 23:00:00.846,0.0,30,30,-1,360000,57,10,0,8,3756.4102,0,182.39996,c34aa7f5-f405-4385-a0e0-d32ed40a01e0.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,3127023,86400000,c34aa7f5-f405-4385-a0e0-d32ed40a01e0,2025-02-04 00:00:00.000,
0,62900750,0,0,5361,300,3452965,90,0,62920010,2025-02-21 10:33:42.417,10,2025-02-04 23:00:05.255,0.0,30,30,-1,240000,63,15,0,8,4028.7908,0,198.87007,2f189695-24fd-4ed9-99e6-86cb31560e65.extra_data.json,R0X8Tl1DGH,1600,com.sec.android.app.shealth,3451365,86400000,2f189695-24fd-4ed9-99e6-86cb31560e65,2025-02-05 00:00:00.000,
0,62900750,0,0,4636,300,2924197,90,0,62920010,2025-02-21 10:33:42.176,10,2025-02-05 23:00:01.427,0.0,30,30,-1,360000,53,12,0,8,3499.8198,0,165.66998,83ce2a58-912e-44d9-a667-7fa57cd7d3f8.extra_data.json,R0X8Tl1DGH,2400,com.sec.android.app.shealth,2921797,86400000,83ce2a58-912e-44d9-a667-7fa57cd7d3f8,2025-02-06 00:00:00.000,
0,62900750,0,0,925,300,616975,90,0,62920010,2025-02-21 10:33:41.971,10,2025-02-06 23:00:02.398,0.0,30,30,-1,42021,11,9,0,8,697.81006,0,34.860004,3e4bc02f-087c-4ab1-b5fd-facc3045874d.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,616975,86400000,3e4bc02f-087c-4ab1-b5fd-facc3045874d,2025-02-07 00:00:00.000,
0,62900750,0,0,13813,300,9150970,90,0,62920010,2025-02-21 10:33:41.759,10,2025-02-07 23:00:01.732,0.0,30,30,-1,240000,168,13,0,8,10364.821,0,511.48978,93c2b4f4-8516-456d-9b8a-cbd51c3734e8.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,9150970,86400000,93c2b4f4-8516-456d-9b8a-cbd51c3734e8,2025-02-08 00:00:00.000,
0,62900750,0,0,1371,300,914457,90,0,62920010,2025-02-21 10:33:41.562,10,2025-02-08 23:00:01.946,0.0,30,30,-1,60000,16,12,0,8,1028.69,0,49.829994,4bd6e49f-83bc-43e5-b0c9-dfa51bac336a.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,914457,86400000,4bd6e49f-83bc-43e5-b0c9-dfa51bac336a,2025-02-09 00:00:00.000,
0,62900750,0,0,1054,300,703018,90,0,62920010,2025-02-21 10:33:41.319,10,2025-02-09 23:00:03.635,0.0,30,30,-1,43355,12,8,0,8,801.44006,0,38.469997,77fca279-ecf3-4b74-8a70-2098c9586314.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,703018,86400000,77fca279-ecf3-4b74-8a70-2098c9586314,2025-02-10 00:00:00.000,
0,62900750,0,0,5921,300,3629461,90,0,62920010,2025-02-21 10:33:41.103,10,2025-02-10 23:00:01.124,0.0,30,30,-1,480000,66,12,0,8,4441.9614,0,229.84,2abc05b6-9792-4331-b518-3895d06eb753.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,3629461,86400000,2abc05b6-9792-4331-b518-3895d06eb753,2025-02-11 00:00:00.000,
0,62900750,0,1814000,8836,300,5412271,90,0,62920010,2025-02-21 10:33:40.905,10,2025-02-11 23:00:00.987,0.0,30,30,-1,960000,100,11,0,8,6747.8154,0,352.05997,adc14e98-8adb-474d-9da8-963027f6929e.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,5412271,86400000,adc14e98-8adb-474d-9da8-963027f6929e,2025-02-12 00:00:00.000,
0,62900750,0,898000,3959,300,2437862,90,0,62920010,2025-02-21 10:33:40.641,10,2025-02-12 23:00:01.266,0.0,30,30,-1,900000,44,6,0,8,2998.9287,0,152.29865,66b965ff-53be-41f4-9b4c-12daa068ffc8.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,2437862,86400000,66b965ff-53be-41f4-9b4c-12daa068ffc8,2025-02-13 00:00:00.000,
0,62900750,0,840000,6240,300,3752069,90,0,62920010,2025-02-21 10:33:40.371,10,2025-02-13 23:00:01.378,0.0,30,30,-1,840000,68,11,0,8,4736.68,0,229.52992,6d4264e9-d653-43ef-bac5-717c147a0b10.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,3752069,86400000,6d4264e9-d653-43ef-bac5-717c147a0b10,2025-02-14 00:00:00.000,
0,62900750,0,0,16363,300,10799832,90,0,62920010,2025-02-21 10:33:40.119,10,2025-02-14 23:00:00.934,0.0,30,30,-1,240000,198,14,0,8,12306.967,0,600.5821,541a503d-726f-47be-85a6-992e44f4037c.extra_data.json,R0X8Tl1DGH,4400,com.sec.android.app.shealth,10795432,86400000,541a503d-726f-47be-85a6-992e44f4037c,2025-02-15 00:00:00.000,
0,62920010,0,2671000,6251,300,3747487,90,0,62920010,2025-02-21 10:33:39.914,10,2025-02-15 23:00:01.896,0.0,30,30,-1,2642000,68,10,0,8,4856.322,0,289.12006,9a316642-7026-4e48-b00b-9a2aff1c94b2.extra_data.json,R0X8Tl1DGH,11200,com.sec.android.app.shealth,3736287,86400000,9a316642-7026-4e48-b00b-9a2aff1c94b2,2025-02-16 00:00:00.000,
0,62920010,0,0,5317,300,3354656,90,0,62920010,2025-02-21 10:33:39.632,10,2025-02-16 23:00:01.174,0.0,30,30,-1,240000,61,14,0,8,4051.856,0,189.90721,45f55634-7cbf-4f4a-8e92-f4dd7323529d.extra_data.json,R0X8Tl1DGH,86565,com.sec.android.app.shealth,3268091,86400000,45f55634-7cbf-4f4a-8e92-f4dd7323529d,2025-02-17 00:00:00.000,
0,62920010,0,1434000,7030,300,4314504,90,9000,62920010,2025-02-21 10:33:39.302,10,2025-02-17 23:00:11.316,0.0,30,30,-1,1425000,77,13,0,8,5241.1274,0,274.42972,5cea776c-4cbd-45a5-bb60-00c1e0a225e3.extra_data.json,R0X8Tl1DGH,46614,com.sec.android.app.shealth,4258890,86400000,5cea776c-4cbd-45a5-bb60-00c1e0a225e3,2025-02-18 00:00:00.000,
0,62920010,0,837000,6493,300,4069339,90,222000,62920010,2025-02-21 10:33:38.931,10,2025-02-18 23:00:01.842,0.0,30,30,-1,615000,74,13,0,8,4487.2383,0,265.46082,bb9b1e98-42b6-415f-8393-b29f7db1e152.extra_data.json,R0X8Tl1DGH,18001,com.sec.android.app.shealth,3829338,86400000,bb9b1e98-42b6-415f-8393-b29f7db1e152,2025-02-19 00:00:00.000,
0,62920010,0,3699000,19564,300,12609156,90,907000,62920010,2025-02-22 06:42:09.191,10,2025-02-19 23:00:01.265,0.0,30,30,-1,1104000,232,14,0,8,16715.574,0,992.45746,1a2b7c81-4f49-4a54-b51a-6219c6d707e9.extra_data.json,R0X8Tl1DGH,1395364,com.sec.android.app.shealth,10306792,86400000,1a2b7c81-4f49-4a54-b51a-6219c6d707e9,2025-02-20 00:00:00.000,
0,62920010,0,2820000,9186,300,7809627,90,2820000,62920010,2025-02-23 06:35:09.672,10,2025-02-20 23:00:02.229,0.0,30,30,-1,1297000,143,13,0,8,6167.0854,0,597.3274,3750571b-7af7-42ea-ad47-d9932abab35c.extra_data.json,R0X8Tl1DGH,139610,com.sec.android.app.shealth,4850017,86400000,3750571b-7af7-42ea-ad47-d9932abab35c,2025-02-21 00:00:00.000,
